id,nome,destaque,descricao,imagem
22,Next.js,false,Framework React para construção de aplicações web.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/nextjs/nextjs-original.svg
23,Prisma,false,ORM para Node.js e TypeScript com suporte a diversos bancos de dados.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/prisma/prisma-original.svg
24,Supabase,false,Plataforma open-source para desenvolvimento de aplicativos web e APIs.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/supabase/supabase-original.svg
25,Tailwind CSS,false,Framework CSS para construção de interfaces de usuário.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/tailwindcss/tailwindcss-plain.svg
26,Flutter,false,Framework para desenvolvimento de aplicativos móveis nativos.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/flutter/flutter-original.svg
27,PHP,false,Linguagem de programação de uso geral.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/php/php-original.svg
28,ChatGPT,false,API de conversação baseada em GPT-3.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/openai/openai-original.svg
29,Dart,false,Linguagem de programação para desenvolvimento de aplicativos móveis com Flutter.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/dart/dart-plain.svg
30,Clojure,true,Linguagem de programação funcional para JVM com ênfase em estruturas de dados imutáveis.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/clojure/clojure-original.svg
31,ClojureScript,true,Compilador Clojure que tem como alvo JavaScript para desenvolvimento web.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/clojurescript/clojurescript-original.svg
32,Go,true,Linguagem de programação de sistemas de alto desempenho com suporte nativo a concorrência.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/go/go-original.svg
33,Julia,true,Linguagem de programação de alto nível para análise numérica e computação científica.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/julia/julia-original.svg
34,Kafka,true,Plataforma distribuída de streaming para construção de pipelines de dados em tempo real.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/kafka/kafka-original.svg
35,Prometheus,false,Kit de ferramentas de monitoramento e alertas para aplicações cloud-native.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/prometheus/prometheus-original.svg
36,Grafana,false,Plataforma de análise e visualização interativa.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/grafana/grafana-original.svg
37,gRPC,true,Framework RPC de alto desempenho para comunicação entre serviços.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/grpc/grpc-original.svg
38,Cadence,false,Plataforma de orquestração distribuída para construção de aplicações escaláveis.,https://cadenceworkflow.io/img/cadence-logo.svg
39,Babashka,false,Clojure de inicialização rápida para scripts shell.,https://raw.githubusercontent.com/babashka/babashka/master/logo/babashka.svg
40,ClojureDart,true,Compilador Clojure com alvo em Dart para desenvolvimento mobile.,https://raw.githubusercontent.com/Tensegritics/ClojureDart/refs/heads/main/logo1024.png
41,APIs REST,false,Estilo arquitetural para sistemas distribuídos e serviços web.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/rest/rest-original.svg
42,Docker Compose,false,Ferramenta para definição e execução de aplicações Docker multi-container.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/docker/docker-original.svg
43,Kubernetes,true,Plataforma de orquestração de containers para automatizar implantação e escala.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/kubernetes/kubernetes-original.svg
44,RedPanda,false,Plataforma moderna de streaming compatível com protocolo Kafka.,https://cdn.prod.website-files.com/6632a83042773c5a1a5f4443/67338106745666127d2992c3_redpanda-vs-kafka.svg
45,CLI,false,Desenvolvimento de Interface de Linha de Comando para automação de sistemas.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/bash/bash-original.svg
46,JVM,false,Ambiente de execução da Máquina Virtual Java.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Duke_%28Java_mascot%29_waving.svg/800px-Duke_%28Java_mascot%29_waving.svg.png
47,Linux,true,Sistema operacional e ambiente de desenvolvimento open-source.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/linux/linux-original.svg
48,Postman,false,Plataforma de desenvolvimento e teste de APIs.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/postman/postman-original.svg
49,Swagger,false,Ferramentas para documentação e design de APIs.,https://cdn.jsdelivr.net/gh/devicons/devicon@latest/icons/swagger/swagger-original.svg
