id,projetoId,locale,nome,descricao
26,13,pt-BR,"Todo List","Um aplicação de tarefas simples para organizar o seu dia a dia. Desenvolvido com React, permite a criação de tarefas, marcação de tarefas concluídas e exclusão de tarefas."
27,14,en,"Instagram (Clone)","Instagram clone developed with React Native. The project consists of an application that allows creating posts, comments and likes, and has a user authentication system."
28,14,pt-BR,"Instagram (Clone)","Clone do Instagram desenvolvido com React Native. O projeto consiste em uma aplicação que permite a criação de posts, comentários e curtidas, além de possuir um sistema de autenticação de usuários."
29,15,en,Minesweeper,"Minesweeper is a classic game developed with React Native. The goal is to discover all cells without bombs. The game has a scoring system and a victory system."
30,15,pt-BR,"Campo Minado","Campo Minado é um jogo clássico desenvolvido com React Native. O objetivo é descobrir todas as células sem bombas. O jogo possui um sistema de pontuação e um sistema de vitória."
31,16,en,Calculator,"Calculator developed in Flutter to perform basic mathematical operations. The project consists of an application that allows performing addition, subtraction, multiplication and division operations."
32,16,pt-BR,Calculadora,"Calculadora desenvolvida em Flutter para realizar operações matemáticas básicas. O projeto consiste em uma aplicação que permite a realização de operações de soma, subtração, multiplicação e divisão."
33,17,en,"Chat Application","Chat application developed with Flutter. The project consists of an application that allows communication between users through text messages. The chat has a message sending system and a new message notification system."
34,17,pt-BR,"Aplicacao Chat","Aplicação de chat desenvolvida com Flutter. O projeto consiste em uma aplicação que permite a comunicação entre usuários através de mensagens de texto. O chat possui um sistema de envio de mensagens e um sistema de notificação de novas mensagens."
35,18,en,"In N' Out","In N' Out is a digital time clock application for companies developed with PHP. The project consists of an application that allows recording employee check-in and check-out, and has a reporting and graphing system."
36,18,pt-BR,"In N' Out","In N' Out é uma aplicação de controle de ponto digital para empresas desenvolvida com PHP. O projeto consiste em uma aplicação que permite o registro de entrada e saída de funcionários, além de possuir um sistema de relatórios e gráficos."
37,19,en,"E-Learning Platform","E-Learning Platform developed with Next.js and Nest.js. This is our largest project and has the participation of our students. We use an advanced architecture model, with DDD (Domain Driven Design) and clean architecture."
38,19,pt-BR,"Plataforma EAD","Plataforma de Ensino a Distância desenvolvida com Next.js e Nest.js. Esse é o nosso maior projeto e tem a participação dos nosso alunos. Usamos um modelo de arquitetura mais avançado, com DDD (Domain Driven Design) e arquitetura limpa."
39,20,en,"Funeral Home Website","Landing page and internal management system for a funeral home. Features include digital letter generation, inventory management, and task automation."
40,20,pt-BR,"Site Funerária","Landing page e sistema de gerenciamento interno para funerária. Inclui geração de cartas digitais, gestão de estoque e automação de tarefas."
41,21,en,"SAGA Microservices","High-performance microservices architecture using Go, implementing SAGA pattern. Features Kafka integration, monitoring with Prometheus/Grafana, and gRPC communication."
42,21,pt-BR,"Microsserviços SAGA","Arquitetura de microsserviços de alta performance usando Go, implementando padrão SAGA. Integração com Kafka, monitoramento com Prometheus/Grafana e comunicação gRPC."
43,22,en,"Government Project Manager","Application for managing and tracking government-funded projects. Built with Clojure and modern web technologies."
44,22,pt-BR,"Gestor de Projetos Governamentais","Aplicação para gerenciamento e acompanhamento de projetos financiados pelo governo. Construído com ClojureScript e tecnologias web modernas."
45,23,en,"Traffic Flow Simulator","Scientific computing project for traffic flow simulation using PDEs. Implemented in Julia and Python. Part of undergraduate thesis at EEL-USP."
46,23,pt-BR,"Simulador de Fluxo de Tráfego","Projeto de computação científica para simulação de fluxo de tráfego usando EDPs. Implementado em Julia e Python. Parte do trabalho de conclusão de curso na EEL-USP."
47,24,en,"CSV Ledger Processor","Clojure application for processing and analyzing billing data from BIORC system."
48,24,pt-BR,"Processador de CSV Ledger","Aplicação Clojure para processamento e análise de dados de faturamento do sistema BIORC."
49,25,en,"Technical Report Automator","Automation system for generating technical reports and managing machinery inventory. Built with Closh (Clojure shell) and Babashka."
50,25,pt-BR,"Automatizador de Relatórios Técnicos","Sistema de automação para geração de relatórios técnicos e gestão de inventário de maquinário. Construído com Closh (shell Clojure) e Babashka."
51,26,en,"Virtual CV","Professional certificates portfolio built with Reagent (ClojureScript React wrapper) and Re-frame. Features responsive design and interactive UI for showcasing professional experience."
52,26,pt-BR,"CV Virtual","Portfólio de certificados profissionais construído com Reagent (wrapper React em ClojureScript) e Re-frame. Apresenta design responsivo e interface interativa para exibição de experiência profissional."
